school_name,student_1,student_2,student_3,student_4,student_5,student_6,teacher
영춘초등학교별방분교장,0,0,2,0,3,1,5
판동초등학교송죽분교장,0,3,0,0,2,2,3
공주교육대학교부설초등학교,80,78,77,80,78,86,29
경천초등학교,5,5,5,5,5,8,7
계룡초등학교,4,9,10,12,13,11,8
공주교동초등학교,22,24,20,31,22,25,9
공주금학초등학교,8,8,9,10,17,14,8
공주봉황초등학교,14,15,11,17,13,13,9
공주신월초등학교,195,191,202,204,181,199,53
공주중동초등학교,32,17,32,34,47,35,17
구산초등학교,2,6,7,9,12,7,7
귀산초등학교,8,10,9,8,12,13,7
덕암초등학교,5,5,2,5,9,5,8
마곡초등학교,1,3,4,6,10,6,7
반포초등학교,5,7,5,7,14,13,8
상서초등학교,18,16,17,17,11,16,7
석송초등학교,10,10,8,4,6,6,7
수촌초등학교,9,11,10,10,12,15,9
신관초등학교,98,82,100,149,129,144,37
신풍초등학교,3,3,7,4,7,5,7
우성초등학교,9,9,7,5,10,12,8
유구초등학교,8,19,28,21,21,19,10
의당초등학교,9,11,16,18,21,13,7
이인초등학교,5,6,11,5,9,9,7
정안초등학교,13,8,8,11,13,6,7
탄천초등학교,4,8,4,10,6,7,8
태봉초등학교,6,10,13,7,4,9,7
학봉초등학교,10,5,9,8,13,10,8
호계초등학교,1,8,7,5,5,5,8
효포초등학교,6,9,13,6,3,8,7
군북초등학교,2,7,9,8,9,4,7
금성초등학교금계분교장,0,0,3,0,6,0,3
금산동초등학교,16,12,18,14,17,25,9
금산중앙초등학교,70,77,79,70,86,84,26
금산초등학교,65,68,84,111,114,135,32
금성초등학교,4,5,5,8,5,9,8
남이초등학교,2,1,4,1,6,2,7
남일초등학교,12,8,10,6,13,12,7
복수초등학교,1,2,4,5,3,3,8
부리초등학교,4,8,7,8,8,6,9
상곡초등학교,8,4,8,4,10,4,7
성대초등학교,3,5,9,7,3,3,8
신대초등학교,1,4,4,5,5,6,7
용문초등학교,15,12,6,17,16,10,9
제원초등학교,4,2,4,6,10,3,9
진산초등학교,9,4,6,11,9,19,8
추부초등학교,26,16,26,25,21,35,14
가야곡초등학교,6,4,4,5,2,5,8
감곡초등학교,4,3,1,8,8,3,8
강경산양초등학교,8,8,9,5,7,4,8
강경중앙초등학교,4,9,8,7,10,6,7
강경황산초등학교,27,24,25,35,41,41,13
광석초등학교,4,5,5,6,10,13,8
구자곡초등학교,20,14,11,12,9,12,8
노성초등학교,5,11,7,9,19,12,7
논산동성초등학교,78,101,107,81,107,115,31
논산반월초등학교,19,15,18,23,21,24,8
논산부창초등학교,47,39,34,47,46,63,17
